,Beads/IFNg | Geometric Mean (PE ( 561 )-A),Beads/IL-2 | Geometric Mean (PE ( 561 )-A),Beads/IL-4 | Geometric Mean (PE ( 561 )-A),Beads/IL-6 | Geometric Mean (PE ( 561 )-A),Beads/IL-10 | Geometric Mean (PE ( 561 )-A),Beads/IL-17A | Geometric Mean (PE ( 561 )-A),Beads/TNFa | Geometric Mean (PE ( 561 )-A),
Specimen_001_A1_A01_001.fcs,9996,555,381,543,295,318,1337,
Specimen_001_A2_A02_002.fcs,16888,620,390,469,273,289,930,
Specimen_001_A3_A03_003.fcs,1819,602,439,426,245,293,444,
Specimen_001_A4_A04_004.fcs,623,475,380,376,271,286,528,
Specimen_001_A5_A05_005.fcs,1488,725,373,390,252,274,417,
Specimen_001_A6_A06_006.fcs,2037,810,372,348,280,285,358,
Specimen_001_A7_A07_007.fcs,611,502,379,338,282,270,364,
Specimen_001_A8_A08_008.fcs,362,453,379,320,289,276,305,
Specimen_001_A9_A09_009.fcs,585,560,370,344,253,295,309,
Specimen_001_A10_A10_010.fcs,534,631,403,341,268,284,292,
Specimen_001_A11_A11_011.fcs,867,496,377,365,275,261,333,
Specimen_001_A12_A12_012.fcs,370,501,379,334,250,312,260,
Specimen_001_B1_B01_013.fcs,8908,557,413,581,292,327,1136,
Specimen_001_B2_B02_014.fcs,19840,713,413,415,265,298,769,
Specimen_001_B3_B03_015.fcs,1227,558,425,484,272,272,517,
Specimen_001_B4_B04_016.fcs,394,471,374,332,256,286,321,
Specimen_001_B5_B05_017.fcs,2395,854,396,331,275,341,430,
Specimen_001_B6_B06_018.fcs,1883,902,375,395,303,258,320,
Specimen_001_B7_B07_019.fcs,611,516,371,327,272,297,325,
Specimen_001_B8_B08_020.fcs,292,459,371,318,288,281,285,
Specimen_001_B9_B09_021.fcs,486,568,362,327,270,287,316,
Specimen_001_B10_B10_022.fcs,388,565,373,433,262,272,313,
Specimen_001_B11_B11_023.fcs,312,468,420,354,264,290,320,
Specimen_001_B12_B12_024.fcs,307,504,420,330,266,274,298,
Specimen_001_C1_C01_025.fcs,11980,516,396,522,330,306,1062,
Specimen_001_C2_C02_026.fcs,87908,840,402,469,273,286,763,
Specimen_001_C3_C03_027.fcs,1122,623,379,497,269,276,509,
Specimen_001_C4_C04_028.fcs,277,443,408,393,246,262,311,
Specimen_001_C5_C05_029.fcs,2335,801,389,350,296,294,390,
Specimen_001_C6_C06_030.fcs,943,783,397,668,262,284,313,
Specimen_001_C7_C07_031.fcs,1085,514,386,325,275,301,300,
Specimen_001_C8_C08_032.fcs,307,459,406,324,290,297,322,
Specimen_001_C9_C09_033.fcs,804,611,374,342,273,277,308,
Specimen_001_C10_C10_034.fcs,293,525,384,496,263,301,271,
Specimen_001_C11_C11_035.fcs,353,485,393,308,281,302,287,
Specimen_001_C12_C12_036.fcs,276,480,373,548,280,279,307,
Specimen_001_D1_D01_037.fcs,49393,753,402,666,279,317,767,
Specimen_001_D2_D02_038.fcs,12498,1503,447,549,293,276,466,
Specimen_001_D3_D03_039.fcs,4278,580,405,479,286,293,377,
Specimen_001_D4_D04_040.fcs,281,456,375,455,274,308,336,
Specimen_001_D5_D05_041.fcs,5898,745,379,362,262,282,389,
Specimen_001_D6_D06_042.fcs,665,562,365,437,288,287,329,
Specimen_001_D7_D07_043.fcs,329,475,380,352,273,270,298,
Specimen_001_D8_D08_044.fcs,312,449,403,452,266,284,271,
Specimen_001_D9_D09_045.fcs,581,565,391,365,273,280,289,
Specimen_001_D10_D10_046.fcs,311,497,392,482,303,276,300,
Specimen_001_D11_D11_047.fcs,291,477,359,354,280,289,284,
Specimen_001_D12_D12_048.fcs,301,473,384,596,256,290,284,
Specimen_001_E1_E01_049.fcs,39179,852,420,544,252,301,743,
Specimen_001_E2_E02_050.fcs,5937,1252,365,445,281,279,404,
Specimen_001_E3_E03_051.fcs,2213,562,548,439,288,301,367,
Specimen_001_E4_E04_052.fcs,274,479,352,522,261,283,359,
Specimen_001_E5_E05_053.fcs,1269,555,384,358,272,250,337,
Specimen_001_E6_E06_054.fcs,338,502,410,581,278,314,301,
Specimen_001_E7_E07_055.fcs,382,458,408,376,274,275,303,
Specimen_001_E8_E08_056.fcs,298,440,386,361,293,261,277,
Specimen_001_E9_E09_057.fcs,403,484,378,350,291,264,295,
Specimen_001_E10_E10_058.fcs,300,448,385,667,291,278,299,
Specimen_001_E11_E11_059.fcs,308,499,401,337,263,286,299,
Specimen_001_E12_E12_060.fcs,293,451,382,812,265,301,308,
Specimen_001_F1_F01_061.fcs,29132,916,413,556,291,305,517,
Specimen_001_F2_F02_062.fcs,2624,841,388,463,261,289,354,
Specimen_001_F3_F03_063.fcs,2088,537,440,390,305,281,369,
Specimen_001_F4_F04_064.fcs,306,452,395,363,268,281,320,
Specimen_001_F5_F05_065.fcs,708,591,398,364,295,303,325,
Specimen_001_F6_F06_066.fcs,294,461,391,570,272,304,309,
Specimen_001_F7_F07_067.fcs,649,474,371,342,292,290,308,
Specimen_001_F8_F08_068.fcs,287,475,400,396,268,283,293,
Specimen_001_F9_F09_069.fcs,299,463,366,319,274,293,303,
Specimen_001_F10_F10_070.fcs,347,475,374,466,270,286,280,
Specimen_001_F11_F11_071.fcs,313,456,371,347,265,274,299,
Specimen_001_F12_F12_072.fcs,282,462,382,699,266,286,296,
Specimen_001_G1_G01_073.fcs,23479,832,428,537,254,311,514,
Specimen_001_G2_G02_074.fcs,646,528,369,597,271,285,328,
Specimen_001_G3_G03_075.fcs,1897,497,388,366,270,267,331,
Specimen_001_G4_G04_076.fcs,306,447,379,395,238,277,329,
Specimen_001_G5_G05_077.fcs,577,536,382,357,274,300,330,
Specimen_001_G6_G06_078.fcs,404,471,371,466,284,278,287,
Specimen_001_G7_G07_079.fcs,350,474,407,368,272,290,341,
Specimen_001_G8_G08_080.fcs,300,480,398,385,285,288,290,
Specimen_001_G9_G09_081.fcs,283,481,363,330,273,328,297,
Specimen_001_G10_G10_082.fcs,293,475,406,537,314,297,299,
Specimen_001_G11_G11_083.fcs,298,462,354,372,268,282,320,
Specimen_001_G12_G12_084.fcs,268,457,373,531,285,317,313,
Specimen_001_H1_H01_085.fcs,6327,632,373,408,289,283,436,
Specimen_001_H2_H02_086.fcs,297,465,423,592,260,270,285,
Specimen_001_H3_H03_087.fcs,801,469,404,360,270,267,317,
Specimen_001_H4_H04_088.fcs,309,460,390,472,276,265,294,
Specimen_001_H5_H05_089.fcs,310,465,385,356,289,278,299,
Specimen_001_H6_H06_090.fcs,282,438,365,812,272,292,297,
Specimen_001_H7_H07_091.fcs,301,455,359,416,263,272,302,
Specimen_001_H8_H08_092.fcs,288,458,376,429,296,280,304,
Specimen_001_H9_H09_093.fcs,283,473,356,458,279,294,278,
Specimen_001_H10_H10_094.fcs,317,439,366,800,305,285,282,
Specimen_001_H11_H11_095.fcs,289,441,373,407,272,300,311,
Specimen_001_H12_H12_096.fcs,315,490,381,863,278,280,334,
Mean,3998,563,389,445,276,287,383,
SD,11660,172,25.7,123,15.4,16.1,188,
