,Beads/IFNg | Geometric Mean (PE ( 561 )-A),Beads/IL-2 | Geometric Mean (PE ( 561 )-A),Beads/IL-4 | Geometric Mean (PE ( 561 )-A),Beads/IL-6 | Geometric Mean (PE ( 561 )-A),Beads/IL-10 | Geometric Mean (PE ( 561 )-A),Beads/IL-17A | Geometric Mean (PE ( 561 )-A),Beads/TNFa | Geometric Mean (PE ( 561 )-A),
Specimen_001_A1_A01_001.fcs,4658,1165,392,455,288,328,868,
Specimen_001_A2_A02_002.fcs,2007,866,369,349,294,283,564,
Specimen_001_A3_A03_003.fcs,741,581,388,353,283,295,413,
Specimen_001_A4_A04_004.fcs,415,467,362,340,288,275,346,
Specimen_001_A5_A05_005.fcs,932,708,402,345,285,285,402,
Specimen_001_A6_A06_006.fcs,1217,652,375,356,276,293,341,
Specimen_001_A7_A07_007.fcs,478,509,402,315,288,282,311,
Specimen_001_A8_A08_008.fcs,411,465,378,318,261,349,309,
Specimen_001_A9_A09_009.fcs,518,501,393,340,264,264,289,
Specimen_001_A10_A10_010.fcs,429,511,384,356,279,310,295,
Specimen_001_A11_A11_011.fcs,458,457,389,315,288,285,308,
Specimen_001_A12_A12_012.fcs,449,472,376,324,276,281,303,
Specimen_001_B1_B01_013.fcs,2724,1167,419,471,284,327,741,
Specimen_001_B2_B02_014.fcs,1438,848,399,360,287,257,488,
Specimen_001_B3_B03_015.fcs,559,525,385,374,281,268,386,
Specimen_001_B4_B04_016.fcs,302,485,440,325,279,338,316,
Specimen_001_B5_B05_017.fcs,572,729,398,318,286,298,373,
Specimen_001_B6_B06_018.fcs,424,575,378,345,300,281,330,
Specimen_001_B7_B07_019.fcs,363,488,390,336,305,300,305,
Specimen_001_B8_B08_020.fcs,326,435,393,331,265,290,333,
Specimen_001_B9_B09_021.fcs,384,471,384,357,275,293,282,
Specimen_001_B10_B10_022.fcs,322,506,375,345,276,281,293,
Specimen_001_B11_B11_023.fcs,317,463,388,339,300,292,279,
Specimen_001_B12_B12_024.fcs,300,498,393,333,271,297,290,
Specimen_001_C1_C01_025.fcs,4757,1409,411,496,306,311,981,
Specimen_001_C2_C02_026.fcs,2486,1178,385,370,273,300,543,
Specimen_001_C3_C03_027.fcs,465,547,379,335,276,263,396,
Specimen_001_C4_C04_028.fcs,277,469,385,337,272,302,303,
Specimen_001_C5_C05_029.fcs,503,664,413,323,279,319,361,
Specimen_001_C6_C06_030.fcs,405,595,380,303,268,284,335,
Specimen_001_C7_C07_031.fcs,328,489,374,310,296,335,328,
Specimen_001_C8_C08_032.fcs,295,472,386,324,286,284,305,
Specimen_001_C9_C09_033.fcs,316,539,385,318,267,283,295,
Specimen_001_C10_C10_034.fcs,321,521,396,366,300,290,266,
Specimen_001_C11_C11_035.fcs,283,489,411,297,267,265,294,
Specimen_001_C12_C12_036.fcs,273,444,410,339,287,292,261,
Specimen_001_D1_D01_037.fcs,3025,1182,386,373,285,395,622,
Specimen_001_D2_D02_038.fcs,1663,1028,418,312,282,256,475,
Specimen_001_D3_D03_039.fcs,576,552,379,380,318,283,404,
Specimen_001_D4_D04_040.fcs,295,464,444,339,271,280,309,
Specimen_001_D5_D05_041.fcs,503,600,406,358,270,275,343,
Specimen_001_D6_D06_042.fcs,415,587,373,319,264,277,310,
Specimen_001_D7_D07_043.fcs,343,488,374,317,261,275,297,
Specimen_001_D8_D08_044.fcs,302,444,357,320,306,289,297,
Specimen_001_D9_D09_045.fcs,310,483,393,320,271,277,300,
Specimen_001_D10_D10_046.fcs,313,476,388,332,276,303,310,
