"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
255,234,240,370,324,456,555,382,261,259,419,274,238,283
188,68,236,298,265,362,409,296,237,226,265,261,229,273
442,391,240,486,298,576,666,432,280,261,553,278,237,347
192,408,252,420,313,483,585,378,267,250,443,285,238,317
190,251,238,366,321,440,538,381,254,247,340,252,235,303
168,121,227,299,303,333,392,291,231,227,311,245,232,258
188,262,234,367,309,427,546,303,267,238,366,270,234,283
155,102,238,297,250,343,465,287,241,233,314,251,236,273
102,147,239,334,288,396,552,378,263,262,346,255,236,304
162,83,232,295,276,357,477,353,245,238,295,270,226,277
352,288,245,437,302,530,604,403,276,249,516,272,233,353
197,77,241,303,306,366,427,272,237,237,322,245,233,254
262,232,239,393,289,460,566,356,267,241,473,261,236,310
320,400,265,467,431,530,597,533,400,311,368,255,255,543
137,71,229,300,267,360,439,263,235,237,315,241,238,268
153,119,238,312,241,372,427,325,250,235,343,246,234,255
212,95,233,347,286,444,539,320,240,253,513,244,234,281
189,117,235,327,263,408,510,289,244,233,587,237,232,248
426,649,246,517,382,580,676,516,296,281,517,304,249,389
366,391,250,450,387,577,672,502,281,263,493,272,230,334
425,325,249,545,437,628,717,530,304,285,559,319,242,382
237,517,240,496,375,560,658,505,273,266,467,287,241,321
264,339,238,396,350,529,637,439,276,252,499,292,241,320
170,65,236,301,244,375,485,306,241,239,347,237,233,279
289,125,238,338,254,436,479,337,244,245,398,242,231,259
93,243,241,392,300,436,593,397,258,234,346,254,240,303
391,342,247,498,355,572,672,485,273,264,519,281,238,339
390,597,249,525,409,617,696,520,313,280,550,309,247,388
337,315,240,493,359,543,636,446,262,255,477,284,242,294
174,319,241,426,350,472,595,411,263,233,536,288,237,311
234,129,240,366,272,430,516,330,255,254,387,260,240,293
178,66,234,310,256,338,407,293,234,237,299,251,230,254
247,456,249,446,418,530,647,497,285,275,524,288,245,396
158,119,232,303,233,328,409,284,236,244,317,248,231,245
277,413,246,490,354,573,651,453,283,252,531,272,243,319
168,48,228,318,275,355,443,259,245,232,299,260,238,266
456,362,245,538,401,607,686,474,293,278,582,303,242,382
182,123,232,305,269,398,497,338,262,244,370,246,239,275
191,202,243,383,262,478,590,406,281,240,445,261,233,287
349,235,242,463,288,548,643,434,266,254,506,268,238,353
120,133,235,326,245,412,548,401,248,253,375,247,234,281
201,130,234,320,269,397,474,358,245,234,353,247,238,239
384,326,249,511,374,585,661,465,283,268,571,286,247,333
205,99,233,320,262,379,462,303,239,233,375,229,232,300
131,98,235,328,246,347,396,260,239,237,345,241,232,262
149,155,234,281,295,384,393,324,244,255,299,261,230,285
138,98,233,287,256,321,465,272,230,248,307,248,234,262
181,162,239,298,248,366,497,305,252,238,299,248,228,288
170,174,234,334,321,422,531,329,252,243,372,246,231,290
183,74,234,317,269,356,484,301,248,240,323,241,238,269
122,120,233,282,269,326,352,276,233,231,308,237,230,243
170,125,240,311,289,351,476,257,245,229,339,252,236,276
382,277,247,486,328,565,621,428,284,265,558,301,237,346
322,447,245,409,343,522,635,444,283,272,466,305,245,346
221,303,235,413,286,503,589,350,256,247,688,250,234,304
131,87,233,300,284,322,359,256,238,231,294,242,237,244
168,161,239,314,319,388,580,401,262,251,346,288,246,346
282,403,239,433,339,513,633,454,275,262,549,271,236,342
188,255,239,342,326,446,589,355,256,236,334,242,235,279
153,78,235,312,289,366,443,323,240,233,344,234,232,250
191,120,234,313,295,376,496,267,242,242,343,246,237,277
218,79,235,317,280,406,499,318,242,244,365,256,241,247
382,425,249,520,375,585,681,467,287,269,577,299,244,354
205,90,236,291,270,337,427,322,234,237,293,234,234,282
173,145,240,401,283,394,533,299,254,261,386,252,233,281
251,199,243,411,291,502,597,395,274,262,562,257,240,302
106,128,234,323,261,323,399,234,242,240,294,231,229,259
305,319,239,418,252,496,580,371,255,241,451,256,230,295
210,131,231,353,286,446,548,391,263,270,350,266,239,304
150,106,232,305,232,380,502,315,255,231,569,243,235,239
159,237,236,318,291,413,517,336,264,239,345,257,233,265
402,429,251,538,412,593,678,484,304,275,590,310,238,381
235,264,239,426,335,473,543,291,263,247,419,270,238,327
153,91,236,301,246,379,393,322,242,233,297,251,232,267
183,330,250,410,337,468,582,417,282,265,382,272,241,315
351,390,245,489,286,560,637,430,283,262,481,285,240,324
202,80,235,343,265,418,499,344,248,242,409,260,233,277
159,123,237,357,365,477,605,439,292,264,407,271,246,333
170,152,237,334,285,425,536,347,264,258,376,253,240,288
374,227,244,447,337,542,619,413,282,253,517,272,240,306
182,158,237,396,336,479,598,404,260,251,467,257,237,320
150,194,239,323,337,424,551,343,265,253,337,244,238,298
165,98,234,320,272,370,495,229,236,229,337,231,229,249
156,74,236,308,270,342,471,310,241,235,293,239,230,229
431,292,257,510,336,580,676,471,278,262,508,289,247,341
190,89,236,295,231,354,459,347,235,244,320,233,234,268
276,246,246,468,307,558,640,443,283,271,486,268,240,357
175,69,234,310,244,359,465,243,236,227,314,228,235,244
164,86,232,296,268,354,441,284,229,228,366,248,232,268
142,85,239,285,270,195,120,221,235,240,306,238,232,231
161,193,241,381,317,486,579,394,278,256,448,258,241,274
