"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
201,78,232,315,267,368,635,440,248,241,282,264,229,276
151,102,235,311,254,340,435,311,231,237,286,243,236,234
369,306,235,462,334,568,737,554,312,269,423,314,239,341
233,164,240,359,238,416,641,436,251,245,296,247,237,260
126,228,234,335,334,399,687,504,285,258,299,259,235,274
281,407,241,444,408,517,817,637,398,305,372,368,246,345
244,164,229,384,286,453,658,454,279,251,347,263,237,292
269,419,244,439,387,518,767,591,343,278,394,301,254,326
384,345,247,511,349,578,717,512,302,274,424,329,241,361
435,450,245,514,423,572,791,595,360,296,435,342,243,374
474,394,248,517,360,584,768,600,337,286,447,332,247,352
207,130,242,334,266,412,572,274,244,231,305,258,231,284
152,150,236,293,271,329,617,392,258,244,266,259,236,249
146,82,232,299,262,309,545,301,248,235,255,255,235,255
161,63,238,289,242,338,546,302,243,238,266,252,232,239
187,62,234,293,217,311,544,356,230,228,264,253,233,263
338,291,246,467,318,529,688,492,289,251,402,287,237,307
188,261,236,369,304,428,685,501,265,255,315,261,238,313
420,354,241,495,382,573,755,563,338,293,449,317,254,358
358,428,249,510,401,573,765,579,336,292,442,325,247,340
169,65,232,304,293,334,560,378,262,247,275,238,228,246
176,77,235,297,240,343,531,353,239,241,262,242,232,238
404,339,247,520,376,583,764,576,343,285,454,342,239,345
180,92,236,290,286,368,656,433,268,253,270,264,237,258
220,367,244,416,406,510,795,600,368,283,367,343,248,310
203,103,235,281,260,374,509,286,241,232,275,238,228,245
468,364,244,519,415,571,758,564,333,266,437,308,241,321
328,315,238,456,305,517,722,539,314,265,407,301,250,321
115,110,237,319,287,383,622,433,250,257,290,253,234,281
248,146,241,370,372,462,743,534,316,253,339,280,239,303
202,71,233,304,287,336,482,269,238,235,261,241,233,288
203,334,241,380,420,472,789,610,370,279,336,328,244,349
195,126,234,336,290,352,517,351,261,244,284,253,234,244
