"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
159,104,234,301,264,391,479,341,246,242,267,241,231,257
133,86,233,318,238,499,584,376,252,245,284,243,240,259
177,193,242,375,335,497,617,433,291,266,327,264,248,338
161,93,232,306,293,467,581,351,247,234,271,245,233,269
168,61,236,296,254,351,414,340,251,231,273,259,233,258
295,244,243,458,339,543,616,409,270,246,401,288,239,343
248,355,241,437,317,618,699,492,303,268,365,262,235,322
364,338,245,482,412,593,668,491,287,261,438,264,242,371
172,144,238,343,296,510,585,383,267,254,282,251,232,263
183,94,233,314,265,385,415,330,244,236,292,241,235,252
154,60,232,288,270,460,578,388,245,237,257,243,233,244
372,325,243,484,326,598,679,456,283,262,420,282,237,334
137,78,229,263,229,363,425,272,237,233,245,248,232,239
194,74,240,309,239,420,492,343,248,245,278,257,238,268
275,220,244,403,317,497,585,417,265,245,326,262,239,294
224,166,234,389,308,477,582,386,266,256,327,257,235,269
153,122,235,287,261,404,524,289,239,250,265,258,236,239
150,234,236,337,294,500,597,426,261,255,296,254,242,276
174,97,233,302,266,510,623,375,256,253,272,236,237,262
337,250,250,455,304,580,664,461,276,265,388,266,236,303
136,89,232,303,210,434,502,355,248,241,255,250,231,258
203,70,233,335,234,381,409,292,232,240,289,245,228,264
101,184,239,343,322,567,660,427,265,240,306,242,232,258
190,71,234,303,307,397,458,341,251,231,263,239,234,230
160,224,234,346,316,550,625,409,280,259,314,247,235,294
369,189,240,452,339,558,640,420,271,262,404,279,237,334
141,115,238,315,288,558,657,440,255,249,291,262,240,260
461,328,247,542,381,622,696,528,304,285,495,299,245,377
133,73,239,303,240,400,512,316,251,235,257,246,237,259
183,74,233,300,279,421,554,328,252,242,286,243,235,253
208,91,237,350,301,402,527,283,250,254,301,247,236,283
194,97,233,312,224,396,469,299,244,240,282,252,231,256
278,329,244,462,317,606,689,497,282,263,399,264,232,323
413,295,247,492,343,599,684,467,291,252,429,289,238,344
171,85,240,308,255,411,372,343,244,236,276,239,232,241
195,137,232,338,265,503,568,362,243,247,309,255,231,261
216,133,236,437,256,495,609,435,257,254,349,267,242,334
509,326,245,535,390,651,723,518,310,281,452,307,242,384
236,162,236,365,296,497,576,372,266,232,298,268,233,262
371,244,244,471,364,583,652,461,281,257,423,302,239,293
470,434,251,533,422,665,742,563,317,285,478,307,250,386
228,111,236,337,219,435,511,341,238,237,309,243,238,263
279,250,245,464,328,605,676,503,285,261,399,263,235,326
158,94,230,279,216,323,432,307,239,234,262,242,232,260
168,184,237,303,319,497,590,429,266,258,300,256,234,273
294,358,245,510,374,631,702,519,297,271,435,274,241,320
172,67,233,298,251,546,621,431,252,255,287,253,235,250
162,106,233,309,256,464,530,306,247,236,259,247,239,270
263,239,243,416,310,561,652,454,275,256,377,248,238,297
160,98,235,287,264,517,613,332,253,247,263,242,230,260
312,423,247,460,417,587,678,499,298,269,410,304,235,367
292,310,248,463,406,565,646,461,305,263,418,288,237,317
154,129,236,309,277,389,535,349,240,237,289,242,230,269
147,136,238,372,266,457,534,342,247,251,324,258,237,299
