"FSC-A","SSC-A","Alexa Fluor 700-A :: GranzymeB","BUV396-A :: CD45RB","BUV737-A :: CD27","BV510-A :: CD3e","BV605-A :: CTLA4","BV650-A :: PDL1","BV711-A :: CD25","BV786-A :: TBET","FITC-A :: CD86","PE ( 561 )-A :: Nur77","PE-Cy7-A :: CD54","PerCP-Cy5-5-A :: IRF4"
242,345,238,437,328,543,625,452,260,239,477,289,238,332
427,629,250,520,384,607,699,514,318,283,635,293,242,388
378,397,249,532,343,595,667,482,288,266,571,317,249,341
217,111,239,348,253,409,522,353,257,246,353,240,235,294
328,342,239,448,277,518,582,419,274,247,529,279,240,279
104,162,237,303,266,354,438,243,235,234,307,246,233,251
212,107,236,306,292,382,490,298,237,229,348,238,237,232
166,58,232,283,228,329,362,249,234,229,318,229,233,237
126,109,234,289,262,343,366,295,227,228,535,247,226,253
269,214,237,383,345,501,579,384,260,246,620,277,235,301
198,118,236,336,258,404,527,320,245,235,511,245,237,281
206,112,235,339,272,386,505,285,245,233,362,235,229,243
361,507,241,611,281,310,411,307,241,262,327,406,259,289
355,660,254,507,403,587,666,516,299,278,539,322,247,385
190,127,238,344,333,479,607,444,269,252,429,265,239,276
370,298,245,484,368,614,700,518,291,260,566,295,244,353
523,534,252,540,443,629,724,530,309,266,600,295,238,362
352,427,243,509,390,608,690,507,289,254,544,288,243,327
357,349,246,485,398,605,702,507,293,254,553,300,249,321
342,292,239,450,362,599,674,522,285,241,549,283,236,297
222,258,237,381,350,508,641,453,257,241,440,252,238,274
239,283,237,385,331,522,613,426,268,241,434,279,235,261
168,56,231,293,231,425,535,365,229,231,288,246,237,242
260,344,243,486,337,568,663,464,269,248,499,284,231,306
155,80,232,294,260,408,535,325,232,249,299,226,232,245
278,365,242,390,343,510,625,413,259,262,456,259,233,313
109,167,239,322,320,426,559,360,245,246,390,269,240,270
371,234,244,437,318,547,630,432,269,263,542,280,236,304
363,223,239,471,283,555,656,409,278,237,531,294,235,334
431,280,239,484,287,567,633,414,271,262,532,276,236,337
294,247,240,442,300,497,611,404,250,246,496,276,240,297
163,278,240,389,326,427,570,349,270,246,452,284,242,281
192,80,235,330,259,402,453,353,244,234,405,247,231,251
547,450,244,540,376,618,684,518,311,280,613,285,240,397
109,293,247,362,346,480,611,449,270,251,476,283,240,319
182,142,233,360,326,409,506,339,246,232,359,241,236,311
124,102,225,272,214,304,447,258,249,232,318,238,239,258
177,62,239,276,202,357,265,283,233,229,287,233,231,248
171,72,237,298,277,339,427,270,234,243,311,224,231,236
193,105,229,312,230,395,372,262,244,228,375,256,233,234
441,334,242,525,382,595,662,473,287,265,590,298,247,376
513,400,252,531,384,616,665,485,293,265,585,302,243,349
171,121,232,338,248,379,413,337,246,236,342,250,234,249
215,138,237,348,299,402,498,384,251,239,370,254,232,249
193,82,232,317,261,347,472,305,254,235,319,240,238,278
150,75,234,308,257,338,328,263,237,240,336,247,235,250
205,133,234,359,252,404,502,284,247,229,377,235,232,248
184,165,235,326,280,367,406,327,237,231,345,249,235,266
128,67,235,299,263,348,446,331,239,234,353,242,233,239
179,71,234,308,246,339,399,281,245,242,332,233,236,250
160,138,238,326,270,366,475,359,263,250,306,247,235,283
172,89,232,315,255,388,500,277,235,252,371,239,233,252
144,77,229,277,261,361,411,307,243,241,465,234,234,249
350,527,238,511,368,576,659,493,281,263,586,292,240,363
201,64,232,294,260,316,472,294,235,242,312,239,235,290
239,251,245,381,330,481,578,346,266,257,381,267,243,253
147,398,240,431,270,481,557,335,245,240,388,277,234,307
320,286,238,450,304,503,611,371,261,238,528,255,236,324
158,141,233,352,256,396,499,302,237,229,343,259,233,250
194,112,232,308,273,375,383,251,241,240,361,234,233,256
190,164,233,337,241,386,469,347,247,239,330,237,235,270
197,92,232,302,272,375,472,278,238,245,366,252,232,239
306,336,238,465,301,522,639,425,267,237,529,294,230,344
191,64,237,297,250,323,521,298,241,231,314,237,230,246
180,110,238,311,293,385,525,333,247,241,322,262,232,256
190,348,241,403,320,491,609,381,270,256,522,248,235,284
145,86,227,314,245,338,343,259,244,231,329,236,231,267
246,179,239,427,309,498,590,347,259,254,441,274,236,316
174,67,233,333,283,342,432,330,230,240,303,242,231,256
168,104,239,289,259,340,449,292,240,228,316,247,233,263
401,273,246,512,323,581,644,476,285,263,569,292,236,373
175,158,236,378,267,431,545,356,244,236,400,271,233,275
144,158,236,335,272,404,480,337,245,252,416,262,232,273
305,234,239,449,332,504,582,384,248,251,515,250,236,303
138,80,227,296,217,253,178,256,229,225,335,247,236,221
214,154,232,355,276,412,383,264,232,237,388,247,231,269
342,213,246,468,364,558,627,468,274,255,506,278,238,343
152,105,236,301,260,359,514,255,236,228,325,252,232,266
273,291,246,421,351,508,594,440,261,256,499,279,231,326
193,75,240,327,271,363,477,235,240,234,319,229,237,266
168,417,249,466,298,543,630,448,280,274,562,298,246,350
138,61,233,303,263,314,368,301,239,237,298,239,234,234
432,423,246,501,345,596,658,494,293,267,527,296,234,360
260,214,237,419,309,493,595,387,258,245,448,274,241,313
165,85,233,313,279,382,465,318,238,256,419,243,235,269
227,65,232,320,269,388,467,297,231,238,340,248,237,250
152,187,234,339,298,376,498,339,256,241,298,249,235,272
294,216,241,421,326,527,606,395,270,245,502,262,236,327
237,173,237,394,289,468,566,382,251,240,414,266,229,280
186,194,239,343,298,398,461,361,250,243,339,253,235,288
336,341,236,474,327,554,641,459,281,264,507,284,240,338
128,85,240,312,241,371,451,307,238,230,292,238,233,258
179,210,238,362,281,430,534,369,243,247,348,268,238,278
223,306,238,425,313,473,585,343,248,244,393,281,235,330
137,289,231,346,303,418,536,388,261,244,367,247,239,253
151,88,238,302,253,375,424,295,244,230,530,257,226,243
329,284,249,475,330,546,620,362,280,277,557,274,236,314
190,104,230,315,273,370,433,307,230,242,377,249,235,259
175,148,241,377,301,433,533,338,250,245,457,256,235,261
198,106,235,308,268,383,487,254,245,233,361,241,230,261
177,78,237,317,268,418,476,324,251,244,256,245,232,273
158,132,239,303,246,367,428,286,239,228,321,249,229,262
400,400,249,498,372,585,677,479,288,271,586,285,244,351
184,79,231,316,271,392,450,292,253,228,344,234,237,247
244,473,242,437,297,496,614,395,271,256,415,268,238,330
300,373,246,449,352,544,647,437,283,253,606,308,237,328
184,215,230,327,284,367,506,312,242,235,321,235,231,254
304,322,244,483,350,553,628,424,280,255,496,287,242,322
236,394,244,484,314,547,617,435,268,256,506,270,246,349
346,314,238,440,310,551,628,458,276,259,468,272,238,303
134,61,234,271,222,309,333,257,226,240,284,230,233,244
196,115,235,327,281,387,465,362,241,231,367,239,230,250
158,213,261,460,376,551,682,551,352,323,502,309,256,428
